1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Admin Level 1,Admin Level 2,Admin Level 3,Admin Level 4,Admin Level 5,Rule Code,Rule Name,Severity,LE Status,Priority,DBE Val Comment,DBE Comment,Responsibility,LE Review,User Id,User Location,Assigned To,LE Reason,LE Details,Timestamp,Remark,Message,WAV Status,Project Name,LE Check,Validation Type,Clean For Extracts,CCLV Runlist,LE Enabled,Validation Id,Link Id
Malaysia,Wilayah Persekutuan,Kuala Lumpur,Kuala Lumpur,Simpang Tiga Bukit Salak,RDS045,Reference Node Not Connected to RDS-TMC,2,Active,HIGH,-,-,GENERAL,YES,rlopezpi,Leon,rlopezpi,,,04/21/21 13:02 PM,,RDS-TMC Feature: RDS05-02072,F,UNKNOWN,NO,W  ,NO,NO,YES,2441697209,6528813027
Malaysia,Wilayah Persekutuan,Kuala Lumpur,Kuala Lumpur,Simpang Tiga Bukit Salak,RDS046,Non-Reference Node Not Connected to RDS-TMC,2,Active,HIGH,-,-,GENERAL,YES,rlopezpi,Leon,rlopezpi,,,04/21/21 13:02 PM,,RDS-TMC Feature: RDS05-02072,F,UNKNOWN,NO,W  ,NO,NO,YES,2441697210,2315818386
Indonesia,Jawa Barat,Bekasi,Jatiasih,,RDS045,Reference Node Not Connected to RDS-TMC,2,Active,HIGH,-,-,TRAFFIC,YES,rlopezpi,Leon,rlopezpi,,,04/15/21 08:57 AM,,RDS-TMC Feature: RDS21P02288,F,Indonesia - Core Map - Link Attributes - WO065856  Indonesia,NO,W  ,NO,NO,YES,8148373004,3429789122
Indonesia,Jawa Barat,Bekasi,Jatiasih,,RDS046,Non-Reference Node Not Connected to RDS-TMC,2,Active,HIGH,-,-,TRAFFIC,YES,rlopezpi,Leon,rlopezpi,,,04/15/21 08:57 AM,,RDS-TMC Feature: RDS21N02289,F,Indonesia - Core Map - Link Attributes - WO065856  Indonesia,NO,W  ,NO,NO,YES,8148372971,6445204069
Indonesia,Jawa Barat,Depok,Tapos,,RDS046,Non-Reference Node Not Connected to RDS-TMC,2,Active,HIGH,-,-,TRAFFIC,YES,rlopezpi,Leon,rlopezpi,,,04/15/21 08:49 AM,,RDS-TMC Feature: RDS21P01795,F,UNKNOWN,NO,W  ,NO,NO,YES,6480135912,1497911833
Indonesia,Jawa Barat,Depok,Tapos,,RDS046,Non-Reference Node Not Connected to RDS-TMC,2,Active,HIGH,-,-,TRAFFIC,YES,rlopezpi,Leon,rlopezpi,,,04/15/21 08:48 AM,,RDS-TMC Feature: RDS21N01795,F,UNKNOWN,NO,W  ,NO,NO,YES,6480116327,1498306836
Indonesia,DKI Jakarta,Jakarta,Kembangan,,RDS045,Reference Node Not Connected to RDS-TMC,2,Active,HIGH,-,-,TRAFFIC,YES,rlopezpi,Leon,rlopezpi,,,04/14/21 16:45 PM,,RDS-TMC Feature: RDS21+01175,F,Indonesia - Core Map - Link Attributes - WO065856  Indonesia,NO,W  ,NO,NO,YES,8156316661,1497708328
Indonesia,DKI Jakarta,Jakarta,Kembangan,,RDS045,Reference Node Not Connected to RDS-TMC,2,Active,HIGH,-,-,TRAFFIC,YES,rlopezpi,Leon,rlopezpi,,R28,04/14/21 16:45 PM,,RDS-TMC Feature: RDS21-01174,F,UNKNOWN,NO,W  ,NO,NO,YES,9360376714,1498029907
Indonesia,DKI Jakarta,Jakarta,Kembangan,,RDS046,Non-Reference Node Not Connected to RDS-TMC,2,Active,HIGH,-,-,TRAFFIC,YES,rlopezpi,Leon,rlopezpi,,,04/14/21 16:45 PM,,RDS-TMC Feature: RDS21-01176,F,Indonesia - Core Map - Link Attributes - WO065856  Indonesia,NO,W  ,NO,NO,YES,8148079274,1498397464
Indonesia,DKI Jakarta,Jakarta,Kembangan,,RDS046,Non-Reference Node Not Connected to RDS-TMC,2,Active,HIGH,-,-,TRAFFIC,YES,rlopezpi,Leon,rlopezpi,,R28,04/14/21 16:45 PM,,RDS-TMC Feature: RDS21+01177,F,UNKNOWN,NO,W  ,NO,NO,YES,9360376710,1498194250
Indonesia,DKI Jakarta,Jakarta,Jatinegara,,RDS045,Reference Node Not Connected to RDS-TMC,2,Active,HIGH,-,-,TRAFFIC,YES,rlopezpi,Leon,rlopezpi,,R28,04/14/21 16:19 PM,,RDS-TMC Feature: RDS21-00812F,F,UNKNOWN,NO,W  ,NO,NO,YES,9503561213,1867021787
Indonesia,DKI Jakarta,Jakarta,Jatinegara,,RDS045,Reference Node Not Connected to RDS-TMC,2,Active,HIGH,-,-,TRAFFIC,YES,rlopezpi,Leon,rlopezpi,,R28,04/14/21 16:19 PM,,RDS-TMC Feature: RDS21P00813T,F,UNKNOWN,NO,W  ,NO,NO,YES,9503011148,1497844205
Indonesia,DKI Jakarta,Jakarta,Jatinegara,,RDS045,Reference Node Not Connected to RDS-TMC,2,Active,HIGH,-,-,TRAFFIC,YES,rlopezpi,Leon,rlopezpi,,R28,04/14/21 16:03 PM,,RDS-TMC Feature: RDS21P00808T,F,UNKNOWN,NO,W  ,NO,NO,YES,9503010952,1498395034
Indonesia,DKI Jakarta,Jakarta,Tanjung Priok,,RDS046,Non-Reference Node Not Connected to RDS-TMC,2,Active,HIGH,-,-,TRAFFIC,YES,rlopezpi,Leon,rlopezpi,,,04/14/21 15:18 PM,,RDS-TMC Feature: RDS21N00634,F,Indonesia - Core Map - Link Attributes - WO065856  Indonesia,NO,W  ,NO,NO,YES,8148079723,1498265303
Indonesia,DKI Jakarta,Jakarta,Makasar,,RDS045,Reference Node Not Connected to RDS-TMC,2,Active,HIGH,-,-,TRAFFIC,YES,j6flores,Leon,j6flores,,,03/10/2021 12:04,,"RDS-TMC Feature: RDS21-01431, RDS23-01344",F,Indonesia - FC12345 - WO095286...Core Team - SE Asia,NO,W  ,NO,NO,YES,2402092212,9243840825
Indonesia,DKI Jakarta,Jakarta,Makasar,,RDS045,Reference Node Not Connected to RDS-TMC,2,Active,HIGH,-,-,TRAFFIC,YES,j6flores,Leon,j6flores,,,03/10/2021 12:04,,"RDS-TMC Feature: RDS21-01431, RDS23-01344",F,Indonesia - FC12345 - WO095286...Core Team - SE Asia,NO,W  ,NO,NO,YES,2402092209,9243840828
