RMOB,MEA_MAP_21114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Title,Active Exceptions of 23 Rules in MEA_MAP_21114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TimeStamp,5/17/2021 13:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Filter Applied,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Admin Level 1,Admin Level 2,Admin Level 3,Admin Level 4,Admin Level 5,Rule Code,Rule Name,Severity,LE Status,Priority,DBE Val Comment,DBE Comment,Responsibility,LE Review,User Id,User Location,Assigned To,LE Reason,LE Details,Timestamp,Remark,Message,WAV Status,Project Name,LE Check,Validation Type,Clean For Extracts,CCLV Runlist,LE Enabled,Validation Id,Link Id
Sanyukt Arab Ameerat,Abu Dabi,Abu Dabi,,,RDS045,Reference Node Not Connected to RDS-TMC,2,Active,HIGH,-,-,TRAFFIC GPO,NO,bhakre,Mumbai,bhakre,,,05/17/21 13:32 PM,,"RDS-TMC Feature: RDS19+01729, RDS17-04462",F,Middle East & Africa - FC12345-Core Map - Core Map - WO096242...Core Team - MEA,NO,W  ,NO,NO,YES,2456610325,9301187916
Saudo Arabija,Dong Bu Sheng,Ka Ta Fu,,,RDS049,Invalid RDS-TMC Direction of Road Indicator for NA Traffic,2,Active,HIGH,-,Ignore Noise in Oman and Saudi MAP-14714,TRAFFIC GPO,NO,rlopezpi,Leon,rlopezpi,,,5/17/2021 12:39,,RDS28-08778F,F,UNKNOWN,NO,W  ,NO,NO,YES,2454927303,9145155078
Saudo Arabija,Dong Bu Sheng,Ka Ta Fu,,,RDS049,Invalid RDS-TMC Direction of Road Indicator for NA Traffic,2,Active,HIGH,-,Ignore Noise in Oman and Saudi MAP-14714,TRAFFIC GPO,NO,rlopezpi,Leon,rlopezpi,,,5/17/2021 12:39,,RDS28+08779T,F,UNKNOWN,NO,W  ,NO,NO,YES,2454927302,9145155078
Saudo Arabija,Mai Jia,Ji Da,,,RDS049,Invalid RDS-TMC Direction of Road Indicator for NA Traffic,2,Active,HIGH,-,Ignore Noise in Oman and Saudi MAP-14714,TRAFFIC GPO,NO,rlopezpi,Leon,rlopezpi,,,5/17/2021 12:39,,RDS28+16555F,F,UNKNOWN,NO,W  ,NO,NO,YES,2454926959,8330071178
Egiptus,Ji Sa Sheng,Shi Yue Liu Ri Cheng,,,RDS038,Previous RDS-TMC Codes Do Not Match Traffic Table,2,Active,HIGH,-,-,TRAFFIC GPO,NO,praspawa,Mumbai,praspawa,,,5/17/2021 12:38,,RDS09N00800 missing offset RDS-TMC code,F,Western Europe - FC12345-TMC - TMC - WO095778...TMC Codes & Traffic Support - Global,NO,W  ,NO,NO,YES,2450795032,2445272830
Egiptus,Ji Sa Sheng,Shi Yue Liu Ri Cheng,,,RDS045,Reference Node Not Connected to RDS-TMC,2,Active,HIGH,-,-,TRAFFIC GPO,NO,praspawa,Mumbai,praspawa,,,5/17/2021 12:38,,RDS-TMC Feature: RDS09N00800,F,"South Africa - FC12345 - WO095756...FQ2-21 
This WO is for Mumbai...MEA AFRICA LMO",NO,W  ,NO,NO,YES,2455363750,2453570068
Egiptus,Ji Sa Sheng,Shi Yue Liu Ri Cheng,,,RDS046,Non-Reference Node Not Connected to RDS-TMC,2,Active,HIGH,-,-,TRAFFIC GPO,NO,praspawa,Mumbai,praspawa,,,5/17/2021 12:38,,RDS-TMC Feature: RDS09P00800,F,"South Africa - FC12345 - WO095756...FQ2-21 
This WO is for Mumbai...MEA AFRICA LMO",NO,W  ,NO,NO,YES,2455363755,2453570067
Saudo Arabija,Ba Ha,Ba Ha,,,RDS049,Invalid RDS-TMC Direction of Road Indicator for NA Traffic,2,Active,HIGH,-,Ignore Noise in Oman and Saudi MAP-14714,TRAFFIC GPO,NO,rlopezpi,Leon,rlopezpi,,,5/17/2021 12:38,,RDS28N16494F,F,South Africa - FC12345 - WO095756...EST - Mumbai - Global,NO,W  ,NO,NO,YES,2454926746,7430191786
Saudo Arabija,Ba Ha,Ba Ha,,,RDS049,Invalid RDS-TMC Direction of Road Indicator for NA Traffic,2,Active,HIGH,-,Ignore Noise in Oman and Saudi MAP-14714,TRAFFIC GPO,NO,rlopezpi,Leon,rlopezpi,,,5/17/2021 12:38,,RDS28P16494T,F,South Africa - FC12345 - WO095756...EST - Mumbai - Global,NO,W  ,NO,NO,YES,2454926745,7430191786
Saudo Arabija,Ba Ha,Ba Ha,,,RDS049,Invalid RDS-TMC Direction of Road Indicator for NA Traffic,2,Active,HIGH,-,Ignore Noise in Oman and Saudi MAP-14714,TRAFFIC GPO,NO,rlopezpi,Leon,rlopezpi,,,5/17/2021 12:38,,RDS26-20459F,F,South Africa - FC12345 - WO095756...EST - Mumbai - Global,NO,W  ,NO,NO,YES,2454926744,7430191786
